Source	2020	2030	2040	2050
CPLC Lower	52.87648054	66.09560068		
CPLC Upper	105.7529611	132.1912014		
Corridors Full sample low	19.8286802	13.21912014		
Corridors Majority low	31.72588832	39.65736041		
Corridors Majority high	51.55456853	132.1912014		
Corridors Full sample high	79.31472081	132.1912014		
WEO 2016	26.51166466	132.5583233	185.5816526	
WEO_IRENA 2017	26.51166466	159.069988	225.3491496	251.8608143
SGLP_High_price_scenario	67.28352607	121.4359124	202.7187527	298.1094292
Traded_Low	0	70.26275616	135.506744	200.7507319
Traded_Central	8.322594516	140.5255123	271.013488	401.5014638
Traded_High	16.59550621	210.7882685	406.5202321	602.2521957
Untraded_Low	60.31922931	70.3724342	135.718266	201.0640977
Untraded_Central	120.6384586	140.7448684	271.4365319	402.1281954
Untraded_High	180.9576879	211.1173026	407.1547979	603.1922931
CCA_2013_AUS	73.5491315	135.1087055		
CCA_2013_INT	73.0498506	101.3477323	144.8856718	209.9472954
Jacobs_IPCC	69.15821443	113.1679873	176.9349703	276.6328577
