Model	Scenario	Unit	2020	2030	2040	2050
AIM-Enduse 12.1	EMF27-450-Conv	US$2005/t CO2	87.114	249.526	1940.903	14260.094
AIM-Enduse 12.1	EMF27-450-EERE	US$2005/t CO2	46.279	215.996	311.934	669.573
AIM-Enduse 12.1	EMF27-450-FullTech	US$2005/t CO2	124.334	257.324	283.698	508.739
AIM-Enduse 12.1	EMF27-450-LimBio	US$2005/t CO2	87.114	224.288	449.065	1621.606
AIM-Enduse 12.1	EMF27-450-LimSW	US$2005/t CO2	87.114	249.523	431.148	2859.283
AIM-Enduse 12.1	EMF27-450-LowEI	US$2005/t CO2	46.475	148.787	263.975	280.312
AIM-Enduse 12.1	EMF27-450-NoCCS	US$2005/t CO2	87.114	257.312	731.921	3680.567
AIM-Enduse 12.1	EMF27-450-NucOff	US$2005/t CO2	96.986	248.284	302.884	533.812
AIM-Enduse[Backcast] 1.0	LIMITS-450	US$2005/t CO2	1.232	2.247	1.802	1.182
BET 1.5	EMF27-450-Conv	US$2005/t CO2	109.387	191.102	333.237	562.179
BET 1.5	EMF27-450-FullTech	US$2005/t CO2	69.973	122.975	215.462	365.274
BET 1.5	EMF27-450-LimBio	US$2005/t CO2	105.877	184.957	322.564	544.740
BET 1.5	EMF27-450-LimSW	US$2005/t CO2	72.291	127.023	222.581	377.234
BET 1.5	EMF27-450-LowEI	US$2005/t CO2	41.792	74.598	132.551	228.360
BET 1.5	EMF27-450-NucOff	US$2005/t CO2	88.287	154.688	270.836	457.666
DNE21 V.12	AMPERE2-450-FullTech-HST	US$2005/t CO2	11.535	0.000	6358.808	7234.689
DNE21 V.12	AMPERE2-450-FullTech-LST	US$2005/t CO2	23.025	25.123	3444.834	3866.378
DNE21 V.12	AMPERE2-450-FullTech-OPT	US$2005/t CO2	45.563	155.855	345.799	645.462
DNE21 V.12	AMPERE2-450-LowEI-HST	US$2005/t CO2	0.000	0.000	4231.337	4360.824
DNE21 V.12	AMPERE2-450-LowEI-LST	US$2005/t CO2	11.169	0.000	3393.218	3407.479
