model_scenario	2020	2030	2040	2050
AIM-Enduse 12.1: EMF27-450-LimBio	160.0311883	412.0223193	824.9425826	2978.927026
AIM-Enduse 12.1: EMF27-450-EERE	85.01534756	396.7900251	573.0298037	1230.021729
AIM-Enduse 12.1: EMF27-450-NucOff	178.1663104	456.1025667	556.4041604	980.6242272
AIM-Enduse 12.1: EMF27-450-FullTech	228.4041351	472.7102415	521.1595116	934.5655897
AIM-Enduse 12.1: EMF27-450-LowEI	85.37622165	273.3251109	484.9280252	514.9392298
DNE21 V.12: AMPERE2-450-NucOff-OPT	92.82551951	351.3993518	858.3718875	1382.400351
DNE21 V.12: AMPERE3-450	54.78533072	507.0471243	1186.754439	1356.978068
DNE21 V.12: AMPERE3-CF450	63.91000345	494.1619427	1138.532905	1309.166772
DNE21 V.12: AMPERE2-450-FullTech-OPT	83.70084677	286.3083621	635.2400742	1185.728845
DNE21 V.12: AMPERE2-450-LowEI-OPT	66.25332881	157.6368019	331.7701171	701.2758529
GCAM 3.1: LIMITS-RefPol-450	27.94537929	72.15747604	118.4791381	180.8603775
GCAM 3.1: LIMITS-RefPol-450-EE	27.94537929	72.15747604	118.4791381	180.8603775
GCAM 3.1: LIMITS-RefPol-450-PC	27.94537929	72.15747604	118.4791381	180.8603775
GCAM 3.1: LIMITS-450	41.48332371	71.44327148	117.3058514	179.0696807
GCAM 3.1: LIMITS-StrPol-450	48.80575259	71.44327148	117.3058514	179.0696807
IMAGE 2.4: EMF27-450-NucOff	99.85276379	142.4893607	150.5975353	256.8077265
IMAGE 2.4: EMF27-450-FullTech	80.84838968	126.3233369	132.5101183	229.8161178
IMAGE 2.4: EMF27-450-LimSW	73.11841618	128.4721003	137.8630639	228.0650878
IMAGE 2.4: AMPERE2-450-NucOff-OPT	121.8667307	144.5336127	164.9267779	221.3424936
IMAGE 2.4: LIMITS-450	60.00121805	127.1976899	154.7733728	211.5384536
IMAGE 2.4: AMPERE2-450-FullTech-OPT	107.6485739	144.6013452	148.7834973	205.0169469
IMAGE 2.4: AMPERE3-CF450	107.6485739	144.6013452	148.7834973	205.0169469
IMAGE 2.4: AMPERE2-450-LimSW-OPT	105.6350767	148.7984351	149.6234412	201.5948205
IMAGE 2.4: AMPERE2-450-LowEI-LST	36.90737675	33.05594796	193.0522101	194.3824424
IMAGE 2.4: LIMITS-RefPol-450	0	95.76154595	152.9504211	178.0140086
IMAGE 2.4: LIMITS-RefPol-450-PC	0	95.76154595	152.9504211	178.0140086
IMAGE 2.4: AMPERE2-450-LowEI-HST	16.41854321	24.99123189	355.0934007	177.6239276
IMAGE 2.4: AMPERE2-450-LowEI-OPT	70.49093859	91.09772871	103.1373153	175.6057289
IMAGE 2.4: LIMITS-RefPol-450-EE	0	94.16153039	147.468111	163.8571245
IMAGE 2.4: EMF27-450-LowEI	32.01816171	89.36384594	118.2376915	162.0456399
POLES AMPERE: AMPERE2-450-Conv-OPT	28.27884079	374.6838315	1319.319918	2673.41994
POLES AMPERE: AMPERE2-450-LimSW-HST	26.59106206	31.23236552	1438.192944	2550.217621
POLES AMPERE: AMPERE2-450-NucOff-HST	32.50916966	38.2115526	1115.991589	2497.175819
POLES AMPERE: AMPERE2-450-LimBio-OPT	27.95390834	365.2940911	1335.142715	2354.769745
POLES AMPERE: AMPERE2-450-FullTech-HST	25.53198152	35.29336588	1239.990654	2347.274771
POLES AMPERE: AMPERE2-450-LimSW-LST	44.87241899	79.72905879	1274.460179	2074.73785
POLES AMPERE: AMPERE2-450-NucOff-LST	51.74928682	92.05689827	1140.682867	1977.142405
POLES AMPERE: AMPERE2-450-FullTech-LST	42.74627613	77.25683779	1059.368242	1817.512332
POLES AMPERE: AMPERE2-450-LowEI-HST	10.22022408	0.013527171	867.993458	1535.751388
POLES AMPERE: AMPERE2-450-LimSW-OPT	25.4126441	345.2685313	1004.622058	1471.731175
POLES AMPERE: AMPERE2-450-NucOff-OPT	24.52756619	366.4861267	1004.622058	1377.216197
POLES AMPERE: AMPERE2-450-FullTech-OPT	24.24870753	321.4790585	1004.622058	1350.212046
POLES AMPERE: AMPERE2-450-LowEI-LST	28.99709195	32.66860856	784.2454275	1168.546889
POLES AMPERE: AMPERE2-450-LowEI-OPT	9.456994956	225.035341	663.0505582	837.1314908
POLES AMPERE: AMPERE3-450	75.15095066	300.6038026	526.0566616	751.5094926
POLES AMPERE: AMPERE3-450P-CE	30.21406095	80.18970911	427.1050329	751.5094926
POLES AMPERE: AMPERE3-450P-EU	7.699638658	21.26068746	388.4794451	751.5094926
POLES EMF27: EMF27-450-LimBio	91.85115958	293.9237107	1377.767394	2939.237107
POLES EMF27: EMF27-450-FullTech	73.48092766	321.4790585	826.6604362	1285.916234
POLES EMF27: EMF27-450-LimSW	82.66604362	349.0344064	826.6604362	1285.916234
POLES EMF27: EMF27-450-NucOff	82.66604362	367.4046383	918.5115958	1285.916234
POLES EMF27: EMF27-450-LowEI	64.29581171	229.627899	551.1069575	826.6604362
TIAM-ECN: LIMITS-RefPol-450	133.8140132	233.5652593	408.2106892	715.3973321
TIAM-ECN: LIMITS-RefPol-450-PC	133.8077867	233.5446479	408.2666324	715.3768709
TIAM-ECN: LIMITS-RefPol-450-EE	133.8047819	233.5341457	408.3110333	715.3439298
TIAM-ECN: LIMITS-450	130.4286439	227.656277	397.8833408	697.2984493
TIAM-ECN: LIMITS-StrPol-450	127.3211925	222.2323854	388.4038038	680.6853732
